GLOBAL_SECURITY_ID,ISSUER,ASSET_CLASS,PRIMARY_TICKER,PRIMARY_EXCHANGE,ISIN,CUSIP,SEDOL,CURRENCY,STATUS,GOLDEN_SOURCE
GSID-000001,Apple Inc.,Equity,AAPL,NASDAQ,US0378331005,037833100,,USD,ACTIVE,Bloomberg Terminal
GSID-000002,Microsoft Corporation,Equity,MSFT,NASDAQ,US5949181045,594918104,,USD,ACTIVE,Bloomberg Terminal
GSID-000003,Amazon.com Inc.,Equity,AMZN,NASDAQ,US0231351067,023135106,,USD,ACTIVE,Bloomberg Terminal
GSID-000004,Alphabet Inc. Class A,Equity,GOOGL,NASDAQ,US02079K3059,02079K305,,USD,ACTIVE,Bloomberg Terminal
GSID-000005,NVIDIA Corporation,Equity,NVDA,NASDAQ,US67066G1040,67066G104,,USD,ACTIVE,Bloomberg Terminal
GSID-000006,Tesla Inc.,Equity,TSLA,NASDAQ,US88160R1014,88160R101,,USD,ACTIVE,Bloomberg Terminal
GSID-000007,Meta Platforms Inc.,Equity,META,NASDAQ,US30303M1027,30303M102,,USD,ACTIVE,Bloomberg Terminal
GSID-000008,Berkshire Hathaway Inc.,Equity,BRK.B,NYSE,US0846707026,084670702,,USD,ACTIVE,Bloomberg Terminal
GSID-000009,JPMorgan Chase & Co.,Equity,JPM,NYSE,US46625H1005,46625H100,,USD,ACTIVE,Bloomberg Terminal
GSID-000010,Johnson & Johnson,Equity,JNJ,NYSE,US4781601046,478160104,,USD,ACTIVE,Bloomberg Terminal
GSID-000011,Visa Inc.,Equity,V,NYSE,US92826C8394,92826C839,,USD,ACTIVE,Bloomberg Terminal
GSID-000012,UnitedHealth Group Inc.,Equity,UNH,NYSE,US91324P1021,91324P102,,USD,ACTIVE,Bloomberg Terminal
GSID-000013,HSBC Holdings plc,Equity,HSBA,LSE,GB0005405286,,0540528,GBP,ACTIVE,Refinitiv Eikon
GSID-000014,BP plc,Equity,BP.,LSE,GB0007980591,,0798059,GBP,ACTIVE,Refinitiv Eikon
GSID-000015,Shell plc,Equity,SHEL,LSE,GB00BP6MXD84,,BP6MXD8,GBP,ACTIVE,Refinitiv Eikon
GSID-000016,AstraZeneca plc,Equity,AZN,LSE,GB0009895292,,0989529,GBP,ACTIVE,Refinitiv Eikon
GSID-000017,Unilever plc,Equity,ULVR,LSE,GB00B10RZP78,,B10RZP7,GBP,ACTIVE,Refinitiv Eikon
GSID-000018,Rio Tinto plc,Equity,RIO,LSE,GB0007188757,,0718875,GBP,ACTIVE,Refinitiv Eikon
GSID-000019,Glencore plc,Equity,GLEN,LSE,JE00B4T3BW64,,B4T3BW6,GBP,ACTIVE,Refinitiv Eikon
GSID-000020,Diageo plc,Equity,DGE,LSE,GB0002374006,,0237400,GBP,ACTIVE,Refinitiv Eikon
GSID-000021,US Treasury Bond 4.5% 2034,Fixed Income,T 4.5 02/15/34,OTC,US912810TM53,912810TM5,,USD,ACTIVE,Bloomberg Terminal
GSID-000022,US Treasury Bond 4.0% 2029,Fixed Income,T 4 11/15/29,OTC,US91282CJV63,91282CJV6,,USD,ACTIVE,Bloomberg Terminal
GSID-000023,Apple Inc. 3.85% 2043,Fixed Income,AAPL 3.85 05/04/43,OTC,US037833DU68,037833DU6,,USD,ACTIVE,Bloomberg Terminal
GSID-000024,Microsoft Corp 2.525% 2050,Fixed Income,MSFT 2.525 06/01/50,OTC,US594918CC45,594918CC4,,USD,ACTIVE,Bloomberg Terminal
GSID-000025,UK Gilt 4.25% 2034,Fixed Income,UKT 4.25 12/07/34,LSE,GB00BMGR2916,,BMGR291,GBP,ACTIVE,Refinitiv Eikon
